Country,GDP_Per_Capita,Life_Expectancy,Literacy_Rate,GDP_Per_Capita_ZScore,Life_Expectancy_ZScore,Literacy_Rate_ZScore,Efficiency_Gap
Bulgaria,20426.0,75.71,98.4,-0.11464498406969689,0.34112128954904775,0.6786014590972098,0.45576627361874467
Panama,19802.0,79.59,95.7,-0.11476227695884843,0.876363926442695,0.5328228374479868,0.9911262034015434
Oman,19119.0,80.03,95.7,-0.11489066004104474,0.9370615450594999,0.5328228374479868,1.0519522051005445
Costa Rica,19104.0,80.8,97.9,-0.11489347958164935,1.0432823776389084,0.6516054180510574,1.1581758572205578
Maldives,18684.0,81.04,97.7,-0.11497242671857827,1.0763901696117126,0.6408070016325963,1.191362596330291
Turkey,18198.0,77.16,96.7,-0.11506377983416745,0.5411475327180653,0.5868149195402915,0.6562113125522328
Trinidad and Tobago,18121.0,73.49,99.0,-0.11507825347593774,0.034874213800621674,0.7109967083525924,0.14995246727655942
Russia,17446.0,73.25,99.7,-0.11520513280314494,0.0017664218278195388,0.748791165817206,0.11697155463096448
Chile,17181.0,81.17,96.3,-0.11525494468715962,1.0943235569303134,0.5652180867033693,1.209578501617473
Serbia,15322.0,76.22,99.5,-0.1156043797527569,0.41147534749125453,0.7379927493987448,0.5270797272440114
Montenegro,14986.0,77.59,98.8,-0.11566753746230003,0.6004656600026713,0.7001982919341313,0.7161331974649714
Kazakhstan,14723.0,74.4,99.8,-0.11571697340756743,0.16040792503083393,0.7541903740264361,0.2761248984384014
Argentina,14359.0,77.39,99.0,-0.11578539425957249,0.5728758333586685,0.7109967083525924,0.688661227618241
Mexico,13967.0,75.07,95.2,-0.11585907825403949,0.25283384428824013,0.5058267964018344,0.3686929225422796
Malaysia,13901.0,76.66,95.0,-0.11587148423269975,0.4721729661080594,0.49502837998337323,0.5880444503407591
Mauritius,13099.0,73.41,91.3,-0.11602223567035926,0.02383828314302096,0.29525767624184535,0.1398605188133802
Grenada,12544.0,75.2,98.6,-0.11612655867272961,0.270767231606843,0.6893998755156702,0.3868937902795726
Dominican Republic,11919.0,73.72,93.8,-0.11624403953125478,0.06660251444122495,0.43023788147260733,0.18284655397247973
Albania,11108.0,79.6,98.1,-0.11639648269327706,0.8777434177748938,0.6624038344695178,0.9941399004681709
Turkmenistan,10801.0,70.07,99.7,-0.11645418929098462,-0.43691182181181903,0.748791165817206,-0.3204576325208344
Brazil,10578.0,75.85,93.2,-0.11649610646130641,0.3604341681998495,0.3978426322172247,0.47693027466115595
North Macedonia,10378.0,75.32,98.4,-0.11653370033603447,0.2873211275932431,0.6786014590972098,0.4038548279292775
Dominica,9944.0,71.13,92.0,-0.11661527904419434,-0.29068574059860613,0.3330521337064588,-0.1740704615544118
Bosnia and Herzegovina,9648.0,77.85,98.5,-0.11667091797879188,0.6363324346398732,0.68400066730644,0.7530033526186651
Belarus,9435.0,74.18,99.9,-0.11671095545537725,0.13005911572243148,0.759589582235667,0.24677007117780875
Gabon,9303.0,68.34,84.7,-0.11673576741269777,-0.675563822282438,-0.06109006556736601,-0.5588280548697403
Peru,9256.0,77.74,94.5,-0.11674460197325887,0.6211580299856719,0.4680323389372208,0.7379026319589308
Armenia,8969.0,77.47,99.8,-0.11679854918349362,0.5839117640162693,0.7541903740264361,0.700710313199763
